ChargingStationId,ChargingStationName,Description,Paese,Stazione,X,Y,osservazioni GIS
1908,AIL - P1 - 11 - VIA GELUSA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Castel S. Pietro,"AIL - P1 - 11 - VIA GELUSA, Castel S. Pietro",721851.689,80112.42,
1907,AIL - P1 - 10 - VIA S. GIORGIO,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Coldrerio,"AIL - P1 - 10 - VIA S. GIORGIO, Coldrerio",720284.816,79188.086,
1948,AIL - N2 - 05 - VIA CANTONALE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Comano,"AIL - N2 - 05 - VIA CANTONALE, Comano",717360.901,99567.727,
2857,AIL - P1 - 30 - VIA SCUOLE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Grancia,"AIL - P1 - 30 - VIA SCUOLE, Grancia",715369.543,91744.268,
2858,AIL - P1 - 31 - VIA CANTONALE,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Gravesano,"AIL - P1 - 31 - VIA CANTONALE, Gravesano",714594.469,100090.395,
5137,AIL - P1 - 47 - VIA S.PIETRO,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Gravesano,"AIL - P1 - 47 - VIA S.PIETRO, Gravesano",714832.154,100096.265,
2872,AIL - N2 - 30 - VIA GIRELLA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0 CHF/h - a partire dalla fine della ricarica: 1 CHF/h,Lamone,"AIL - N2 - 30 - VIA GIRELLA, Lamone",715610.419,100264.701,
2090,AIL - N2 - 11 - VIA SERAFINO BALESTRA,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 1 CHF/h - a partire dalla fine della ricarica: 4 CHF/h,Lugano,"AIL - N2 - 11 - VIA SERAFINO BALESTRA, Lugano",717319.239,96226.299,
2092,AIL - N2 - 13 - PIAZZA REZZONICO,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 1 CHF/h - a partire dalla fine della ricarica: 4 CHF/h,Lugano,"AIL - N2 - 13 - PIAZZA REZZONICO, Lugano",717150.359,95756.977,
2093,AIL - N2 - 14 - VIA CAMPO MARZIO,Tariffa di stazionamento (07:00 - 22:00): - durante la ricarica: 0.5 CHF/h - a partire dalla fine della ricarica: 2 CHF/h,Lugano,"AIL - N2 - 14 - VIA CAMPO MARZIO, Lugano",718032.072,96196.624,
