"Fahrt: Name","Ende Wochentag"
"1337437","1 Montag"
"2077304","1 Montag"
"1337488","1 Montag"
"2078079","1 Montag"
"1337530","1 Montag"
"2078749","1 Montag"
"1338336","1 Montag"
"2078859","1 Montag"
"1338395","1 Montag"
"2078893","1 Montag"
"1338647","1 Montag"
"2078918","1 Montag"
"1338669","1 Montag"
"2078940","1 Montag"
"1338676","1 Montag"
"2079154","1 Montag"
"1339118","1 Montag"
"2079231","1 Montag"
"1339522","1 Montag"
"2079517","1 Montag"
"1339524","1 Montag"
"2079541","1 Montag"
"1339563","1 Montag"
"2079685","1 Montag"
"1339925","1 Montag"
"2079853","1 Montag"
"1339995","1 Montag"
"2079903","1 Montag"
"1340137","1 Montag"
"2079974","1 Montag"
"1340157","1 Montag"
"2079977","1 Montag"
"1340174","1 Montag"
"2080105","1 Montag"
"1340618","1 Montag"
"2080139","1 Montag"
"1340695","1 Montag"
"2080229","1 Montag"
"1341448","1 Montag"
"2080273","1 Montag"
"1380244","1 Montag"
"2080291","1 Montag"
"1380756","1 Montag"
"2080307","1 Montag"
"1380844","1 Montag"
"2111044","1 Montag"
"1380876","1 Montag"
"2155302","1 Montag"
"1381144","1 Montag"
"2156125","1 Montag"
"1381357","1 Montag"
"2156354","1 Montag"
"1381404","1 Montag"
"2156396","1 Montag"
"1381584","1 Montag"
"2156578","1 Montag"
"1381646","1 Montag"
"2156775","1 Montag"
"1381657","1 Montag"
"2157022","1 Montag"
"1382026","1 Montag"
"2157061","1 Montag"
"1382470","1 Montag"
"2157382","1 Montag"
"1382484","1 Montag"
"2157386","1 Montag"
"1382682","1 Montag"
"2157642","1 Montag"
"1382696","1 Montag"
"2157663","1 Montag"
"1382779","1 Montag"
"2158185","1 Montag"
"1382935","1 Montag"
"2158468","1 Montag"
"1383067","1 Montag"
"2158522","1 Montag"
"1383100","1 Montag"
"2158649","1 Montag"
"1383153","1 Montag"
"2158789","1 Montag"
"1383177","1 Montag"
"2158793","1 Montag"
"1383218","1 Montag"
"2159275","1 Montag"
"1383241","1 Montag"
"2159309","1 Montag"
"1383276","1 Montag"
"2159361","1 Montag"
"1383393","1 Montag"
"2159446","1 Montag"
"1383429","1 Montag"
"2159555","1 Montag"
"1383471","1 Montag"
"2159715","1 Montag"
"1383496","1 Montag"
"2159888","1 Montag"
"1383508","1 Montag"
"2159895","1 Montag"
"1383520","1 Montag"
"2159962","1 Montag"
"1383723","1 Montag"
"2160028","1 Montag"
"1383808","1 Montag"
"2160428","1 Montag"
"1384003","1 Montag"
"2160600","1 Montag"
"1384055","1 Montag"
"2160759","1 Montag"
"1384191","1 Montag"
"2161444","1 Montag"
