"Fahrt: Name","Ende - Stunde","Ende Wochentag"
"2014678","00","4 Donnerstag"
"2014871","00","4 Donnerstag"
"2014878","00","4 Donnerstag"
"2014939","00","4 Donnerstag"
"2105818","00","4 Donnerstag"
"2193584","00","4 Donnerstag"
"2274002","00","4 Donnerstag"
"2364322","00","4 Donnerstag"
"2364338","00","4 Donnerstag"
"2439767","00","4 Donnerstag"
"2439936","00","4 Donnerstag"
"2439967","00","4 Donnerstag"
"2593453","00","4 Donnerstag"
"2593472","00","4 Donnerstag"
"2593552","00","4 Donnerstag"
"2841637","00","4 Donnerstag"
"2841638","00","4 Donnerstag"
"3004911","00","4 Donnerstag"
"1652014","00","4 Donnerstag"
"1652037","00","4 Donnerstag"
"1788488","00","4 Donnerstag"
"1788595","00","4 Donnerstag"
"1788596","00","4 Donnerstag"
"1842962","00","4 Donnerstag"
"2759256","00","4 Donnerstag"
"2911408","00","4 Donnerstag"
"3232483","00","4 Donnerstag"
"1124213","00","4 Donnerstag"
"1597877","00","4 Donnerstag"
"1652009","00","4 Donnerstag"
"1652013","00","4 Donnerstag"
"1652016","00","4 Donnerstag"
"1652020","00","4 Donnerstag"
"1717659","00","4 Donnerstag"
"1926458","00","4 Donnerstag"
"1926584","00","4 Donnerstag"
"1926610","00","4 Donnerstag"
"1926611","00","4 Donnerstag"
"2014782","00","4 Donnerstag"
"2014841","00","4 Donnerstag"
"2014929","00","4 Donnerstag"
"2194284","00","4 Donnerstag"
"2194295","00","4 Donnerstag"
"2274101","00","4 Donnerstag"
"2364303","00","4 Donnerstag"
"2439806","00","4 Donnerstag"
"2439929","00","4 Donnerstag"
"2668931","00","4 Donnerstag"
"2841598","00","4 Donnerstag"
"2911413","00","4 Donnerstag"
"3232466","00","4 Donnerstag"
"1158120","00","4 Donnerstag"
"1029945","00","4 Donnerstag"
"1044837","00","4 Donnerstag"
"1597875","00","4 Donnerstag"
"1652004","00","4 Donnerstag"
"1652006","00","4 Donnerstag"
"1652036","00","4 Donnerstag"
"1652065","00","4 Donnerstag"
"1788414","00","4 Donnerstag"
"1926416","00","4 Donnerstag"
"1926495","00","4 Donnerstag"
"1926528","00","4 Donnerstag"
"1926601","00","4 Donnerstag"
"2014861","00","4 Donnerstag"
"2014869","00","4 Donnerstag"
"2014927","00","4 Donnerstag"
"2105830","00","4 Donnerstag"
"2194310","00","4 Donnerstag"
"2364235","00","4 Donnerstag"
"2364343","00","4 Donnerstag"
"2439473","00","4 Donnerstag"
"2439764","00","4 Donnerstag"
"2512984","00","4 Donnerstag"
"2593550","00","4 Donnerstag"
"974053","00","4 Donnerstag"
"1221498","00","4 Donnerstag"
"1130884","00","5 Freitag"
"1938324","00","5 Freitag"
"2925231","00","5 Freitag"
"1163286","00","5 Freitag"
"1938358","00","5 Freitag"
"2925238","00","5 Freitag"
"1163324","00","5 Freitag"
"1938413","00","5 Freitag"
"2925245","00","5 Freitag"
"1228717","00","5 Freitag"
"1938418","00","5 Freitag"
"3099199","00","5 Freitag"
"1273138","00","5 Freitag"
"1938428","00","5 Freitag"
"3099215","00","5 Freitag"
"1553046","00","5 Freitag"
"1938436","00","5 Freitag"
"995496","00","5 Freitag"
"1663363","00","5 Freitag"
"2028627","00","5 Freitag"
"1130853","00","5 Freitag"
"1663375","00","5 Freitag"
"2029851","00","5 Freitag"
"1163315","00","5 Freitag"
"1727011","00","5 Freitag"
"2029902","00","5 Freitag"
"1228714","00","5 Freitag"
"1727012","00","5 Freitag"
"2029952","00","5 Freitag"
"1032522","00","5 Freitag"
"1727038","00","5 Freitag"
"2119635","00","5 Freitag"
"1363929","00","5 Freitag"
"1855572","00","5 Freitag"
"2205898","00","5 Freitag"
"1553143","00","5 Freitag"
"1855673","00","5 Freitag"
"2205899","00","5 Freitag"
"1553448","00","5 Freitag"
"1938356","00","5 Freitag"
"2205928","00","5 Freitag"
"1608144","00","5 Freitag"
"1938379","00","5 Freitag"
"2205948","00","5 Freitag"
"1608151","00","5 Freitag"
"1938429","00","5 Freitag"
"2205982","00","5 Freitag"
"1608202","00","5 Freitag"
"1938464","00","5 Freitag"
"2206000","00","5 Freitag"
"1608215","00","5 Freitag"
"2029841","00","5 Freitag"
"2206023","00","5 Freitag"
"1938352","00","5 Freitag"
"2119318","00","5 Freitag"
"2287541","00","5 Freitag"
"1938376","00","5 Freitag"
"2119659","00","5 Freitag"
"2287643","00","5 Freitag"
"1938389","00","5 Freitag"
"2119741","00","5 Freitag"
"2378828","00","5 Freitag"
"2029780","00","5 Freitag"
"2205980","00","5 Freitag"
"2449861","00","5 Freitag"
"2029901","00","5 Freitag"
"2206037","00","5 Freitag"
"2451078","00","5 Freitag"
"2029904","00","5 Freitag"
"2287622","00","5 Freitag"
"2451093","00","5 Freitag"
"2029961","00","5 Freitag"
"2287646","00","5 Freitag"
"2527054","00","5 Freitag"
"2119783","00","5 Freitag"
"2378747","00","5 Freitag"
"2527083","00","5 Freitag"
"2205924","00","5 Freitag"
"2378779","00","5 Freitag"
"2605739","00","5 Freitag"
"2205937","00","5 Freitag"
"2378781","00","5 Freitag"
"2605754","00","5 Freitag"
"2205938","00","5 Freitag"
"2451081","00","5 Freitag"
"2681606","00","5 Freitag"
"2205952","00","5 Freitag"
"2451089","00","5 Freitag"
"2681747","00","5 Freitag"
"2287621","00","5 Freitag"
"2451091","00","5 Freitag"
"2681797","00","5 Freitag"
"2451098","00","5 Freitag"
"2451094","00","5 Freitag"
"2773274","00","5 Freitag"
"2451156","00","5 Freitag"
