Date,District From Id,District From Name,Count
2019-06-03,1724,Werdenberg,510
2019-06-03,1904,Brugg,27
2019-06-03,25,Genève,56
2019-06-03,504,Küssnacht (SZ),27
2019-06-03,110,Winterthur,76
2019-06-03,1907,Lenzburg,51
2019-06-03,2301,Brig,41
2019-06-03,1847,Moesa,839
2019-06-03,2105,Lugano,40518
2019-06-03,1911,Zurzach,37
2019-06-03,106,Horgen,135
2019-06-03,2103,Leventina,1722
2019-06-03,243,Seeland,32
2019-06-03,312,Luzern-Land,173
2019-06-03,2011,Arbon,56
2019-06-03,6,Obwalden,119
2019-06-03,102,Andelfingen,27
2019-06-03,1723,Rheintal,199
2019-06-03,2015,Weinfelden,51
2019-06-03,1910,Zofingen,81
2019-06-03,1106,Wasseramt,26
2019-06-03,1402,Reiat,126
2019-06-03,1851,Viamala,256
2019-06-03,9,Zug,243
2019-06-03,109,Uster,66
2019-06-03,2108,Vallemaggia,188
2019-06-03,503,Höfe,70
2019-06-03,105,Hinwil,68
2019-06-03,244,Oberaargau,36
2019-06-03,311,Luzern-Stadt,459
2019-06-03,1846,Maloja,44
2019-06-03,1301,Arlesheim,238
2019-06-03,1403,Schaffhausen,140
2019-06-03,12,Basel-Stadt,1407
2019-06-03,313,Hochdorf,114
2019-06-03,7,Nidwalden,136
2019-06-03,245,Emmental,48
2019-06-03,103,Bülach,219
2019-06-03,1909,Rheinfelden,51
2019-06-03,108,Pfäffikon,24
2019-06-03,2101,Bellinzona,9297
2019-06-03,1726,See-Gaster,68
2019-06-03,505,March,46
2019-06-03,1304,Sissach,70
2019-06-03,2107,Riviera,718
2019-06-03,112,Zürich,1009
2019-06-03,1845,Landquart,87
2019-06-03,2012,Frauenfeld,29
2019-06-03,1901,Aarau,55
2019-06-03,1849,Prättigau/Davos,47
2019-06-03,314,Sursee,255
2019-06-03,2013,Kreuzlingen,39
2019-06-03,250,Interlaken-Oberhasli,217
2019-06-03,1844,Imboden,42
2019-06-03,104,Dielsdorf,71
2019-06-03,1108,Olten,99
2019-06-03,1721,St. Gallen,48
2019-06-03,1903,Bremgarten,31
2019-06-03,1101,Gäu,49
2019-06-03,246,Bern-Mittelland,156
2019-06-03,1908,Muri,23
2019-06-03,2102,Blenio,293
2019-06-03,315,Willisau,61
2019-06-03,1725,Sarganserland,114
2019-06-03,1303,Liestal,216
2019-06-03,107,Meilen,70
2019-06-03,242,Biel/Bienne,53
2019-06-03,4,Uri,948
2019-06-03,506,Schwyz,164
2019-06-03,1004,La Sarine,29
2019-06-03,1902,Baden,90
2019-06-03,501,Einsiedeln,22
2019-06-03,111,Dietikon,80
2019-06-03,1848,Plessur,70
2019-06-03,2106,Mendrisio,37057
2019-06-03,-1,Other,490
2019-06-04,101,Affoltern,74
2019-06-04,1850,Surselva,48
2019-06-04,2104,Locarno,4647
2019-06-04,2014,Münchwilen,26
2019-06-04,1728,Wil,27
2019-06-04,24,Neuchâtel,46
2019-06-04,1724,Werdenberg,347
2019-06-04,1904,Brugg,24
2019-06-04,25,Genève,38
2019-06-04,504,Küssnacht (SZ),23
2019-06-04,110,Winterthur,50
2019-06-04,1907,Lenzburg,37
2019-06-04,2301,Brig,26
2019-06-04,1847,Moesa,766
2019-06-04,2105,Lugano,40530
2019-06-04,1911,Zurzach,26
2019-06-04,106,Horgen,106
2019-06-04,2103,Leventina,1508
2019-06-04,312,Luzern-Land,167
2019-06-04,6,Obwalden,89
2019-06-04,1723,Rheintal,137
2019-06-04,2015,Weinfelden,34
2019-06-04,2313,Visp,23
2019-06-04,1910,Zofingen,62
2019-06-04,1106,Wasseramt,57
2019-06-04,1402,Reiat,95
2019-06-04,1851,Viamala,170
2019-06-04,9,Zug,242
2019-06-04,109,Uster,67
2019-06-04,2108,Vallemaggia,133
2019-06-04,503,Höfe,29
2019-06-04,105,Hinwil,42
2019-06-04,244,Oberaargau,64
2019-06-04,311,Luzern-Stadt,359
2019-06-04,1846,Maloja,34
2019-06-04,1906,Laufenburg,37
2019-06-04,1301,Arlesheim,174
2019-06-04,2225,Lausanne,23
2019-06-04,1403,Schaffhausen,79
2019-06-04,12,Basel-Stadt,824
2019-06-04,313,Hochdorf,125
2019-06-04,7,Nidwalden,134
2019-06-04,1722,Rorschach,36
2019-06-04,245,Emmental,31
2019-06-04,103,Bülach,202
2019-06-04,1909,Rheinfelden,41
2019-06-04,1841,Albula,28
2019-06-04,2101,Bellinzona,9547
2019-06-04,1726,See-Gaster,29
2019-06-04,505,March,28
2019-06-04,1304,Sissach,56
2019-06-04,2107,Riviera,822
2019-06-04,112,Zürich,1013
2019-06-04,1845,Landquart,96
2019-06-04,502,Gersau,26
2019-06-04,1901,Aarau,74
2019-06-04,314,Sursee,232
2019-06-04,2013,Kreuzlingen,38
2019-06-04,250,Interlaken-Oberhasli,119
2019-06-04,1844,Imboden,48
2019-06-04,104,Dielsdorf,45
2019-06-04,1108,Olten,79
2019-06-04,1721,St. Gallen,67
2019-06-04,1903,Bremgarten,53
2019-06-04,1101,Gäu,36
2019-06-04,8,Glarus,40
2019-06-04,246,Bern-Mittelland,120
2019-06-04,2102,Blenio,279
2019-06-04,315,Willisau,64
2019-06-04,1725,Sarganserland,108
2019-06-04,1303,Liestal,143
2019-06-04,107,Meilen,70
2019-06-04,242,Biel/Bienne,32
2019-06-04,4,Uri,818
2019-06-04,506,Schwyz,188
2019-06-04,1902,Baden,124
2019-06-04,111,Dietikon,57
2019-06-04,1848,Plessur,74
2019-06-04,2106,Mendrisio,26716
2019-06-04,-1,Other,590
2019-06-05,1501,Hinterland,24
2019-06-05,101,Affoltern,90
2019-06-05,1850,Surselva,106
2019-06-05,2104,Locarno,4520
2019-06-05,2014,Münchwilen,33
2019-06-05,1728,Wil,25
2019-06-05,24,Neuchâtel,57
2019-06-05,1724,Werdenberg,553
2019-06-05,1904,Brugg,35
2019-06-05,25,Genève,61
2019-06-05,504,Küssnacht (SZ),26
