Date,Canton From Id,Canton From Name,Count
2019-06-12,17,St. Gallen,708
2019-06-12,22,Vaud,61
2019-06-12,12,Basel-Stadt,943
2019-06-12,7,Nidwalden,151
2019-06-12,3,Luzern,769
2019-06-12,18,Graubünden,1279
2019-06-12,11,Solothurn,204
2019-06-12,26,Jura,24
2019-06-12,23,Valais,93
2019-06-12,8,Glarus,27
2019-06-12,19,Aargau,529
2019-06-12,4,Uri,2132
2019-06-12,-1,Other,30
2019-06-13,5,Schwyz,549
2019-06-13,10,Fribourg,51
2019-06-13,24,Neuchâtel,56
2019-06-13,25,Genève,53
2019-06-13,14,Schaffhausen,378
2019-06-13,20,Thurgau,201
2019-06-13,1,Zürich,2565
2019-06-13,6,Obwalden,157
2019-06-13,21,Ticino,90584
2019-06-13,9,Zug,387
2019-06-13,13,Basel-Landschaft,647
2019-06-13,2,Bern,520
2019-06-13,17,St. Gallen,1254
2019-06-13,22,Vaud,88
2019-06-13,12,Basel-Stadt,1194
2019-06-13,7,Nidwalden,163
2019-06-13,3,Luzern,1093
2019-06-13,18,Graubünden,1777
2019-06-13,11,Solothurn,289
2019-06-13,23,Valais,94
2019-06-13,8,Glarus,45
2019-06-13,19,Aargau,782
2019-06-13,4,Uri,1145
2019-06-13,15,Appenzell Ausserrhoden,25
2019-06-13,-1,Other,38
2019-06-14,5,Schwyz,836
2019-06-14,10,Fribourg,80
2019-06-14,24,Neuchâtel,58
2019-06-14,25,Genève,103
2019-06-14,14,Schaffhausen,579
2019-06-14,20,Thurgau,327
2019-06-14,1,Zürich,4136
2019-06-14,6,Obwalden,110
2019-06-14,21,Ticino,100529
2019-06-14,9,Zug,610
2019-06-14,13,Basel-Landschaft,854
2019-06-14,2,Bern,710
2019-06-14,17,St. Gallen,2153
2019-06-14,22,Vaud,139
2019-06-14,12,Basel-Stadt,1635
2019-06-14,7,Nidwalden,297
2019-06-14,3,Luzern,1376
2019-06-14,18,Graubünden,2800
2019-06-14,16,Appenzell Innerrhoden,22
2019-06-14,11,Solothurn,397
2019-06-14,26,Jura,34
2019-06-14,23,Valais,193
2019-06-14,8,Glarus,66
2019-06-14,19,Aargau,1067
2019-06-14,4,Uri,1781
2019-06-14,15,Appenzell Ausserrhoden,51
2019-06-14,-1,Other,12
2019-06-15,5,Schwyz,755
2019-06-15,10,Fribourg,39
2019-06-15,24,Neuchâtel,41
2019-06-15,25,Genève,35
2019-06-15,14,Schaffhausen,1059
2019-06-15,20,Thurgau,411
2019-06-15,1,Zürich,2950
2019-06-15,6,Obwalden,123
2019-06-15,21,Ticino,103073
2019-06-15,9,Zug,397
2019-06-15,13,Basel-Landschaft,1150
2019-06-15,2,Bern,646
2019-06-15,17,St. Gallen,3277
2019-06-15,22,Vaud,82
2019-06-15,12,Basel-Stadt,2191
2019-06-15,7,Nidwalden,283
2019-06-15,3,Luzern,1281
2019-06-15,18,Graubünden,3515
2019-06-15,11,Solothurn,348
2019-06-15,26,Jura,24
2019-06-15,23,Valais,200
2019-06-15,8,Glarus,63
2019-06-15,19,Aargau,959
2019-06-15,4,Uri,3718
2019-06-15,15,Appenzell Ausserrhoden,35
2019-06-15,-1,Other,29
2019-06-16,5,Schwyz,609
2019-06-16,10,Fribourg,66
2019-06-16,24,Neuchâtel,69
2019-06-16,25,Genève,38
2019-06-16,14,Schaffhausen,644
2019-06-16,20,Thurgau,316
2019-06-16,1,Zürich,2604
2019-06-16,6,Obwalden,176
2019-06-16,21,Ticino,93872
2019-06-16,9,Zug,442
2019-06-16,13,Basel-Landschaft,992
2019-06-16,2,Bern,682
2019-06-16,17,St. Gallen,2036
2019-06-16,22,Vaud,79
2019-06-16,12,Basel-Stadt,1987
2019-06-16,7,Nidwalden,249
2019-06-16,3,Luzern,1426
2019-06-16,18,Graubünden,2737
2019-06-16,11,Solothurn,322
2019-06-16,26,Jura,53
2019-06-16,23,Valais,195
2019-06-16,8,Glarus,30
2019-06-16,19,Aargau,929
2019-06-16,4,Uri,1517
2019-06-16,15,Appenzell Ausserrhoden,29
2019-06-16,-1,Other,23
2019-06-17,5,Schwyz,576
2019-06-17,10,Fribourg,57
2019-06-17,25,Genève,41
2019-06-17,14,Schaffhausen,360
2019-06-17,20,Thurgau,180
2019-06-17,1,Zürich,2139
2019-06-17,6,Obwalden,135
2019-06-17,21,Ticino,87671
2019-06-17,9,Zug,321
2019-06-17,13,Basel-Landschaft,574
2019-06-17,2,Bern,495
2019-06-17,17,St. Gallen,1059
2019-06-17,22,Vaud,60
2019-06-17,12,Basel-Stadt,1147
2019-06-17,7,Nidwalden,235
2019-06-17,3,Luzern,1016
2019-06-17,18,Graubünden,1677
2019-06-17,11,Solothurn,255
2019-06-17,26,Jura,27
2019-06-17,23,Valais,159
2019-06-17,8,Glarus,30
2019-06-17,19,Aargau,583
2019-06-17,4,Uri,928
2019-06-17,15,Appenzell Ausserrhoden,24
2019-06-17,-1,Other,43
2019-06-18,5,Schwyz,535
2019-06-18,10,Fribourg,35
2019-06-18,24,Neuchâtel,43
2019-06-18,25,Genève,38
2019-06-18,14,Schaffhausen,194
