Date,PLZ To Id,PLZ To Name,Count
2019-05-28,6958,Capriasca,207
2019-05-28,6919,Collina d'Oro,124
2019-05-28,6780,Airolo,388
2019-05-28,6862,Mendrisio,532
2019-05-28,6518,Bellinzona,116
2019-05-28,6967,Lugano,47
2019-05-28,6593,Cadenazzo,1313
2019-05-28,8008,Zürich,49
2019-05-28,6763,Faido,34
2019-05-28,6573,Gambarogno,59
2019-05-28,6837,Breggia,59
2019-05-28,6978,Lugano,264
2019-05-28,6946,Ponte Capriasca,468
2019-05-28,4457,Diegten,38
2019-05-28,6935,Bioggio,73
2019-05-28,8952,Schlieren,26
2019-05-28,6827,Brusino Arsizio,250
2019-05-28,6805,Mezzovico-Vira,1168
2019-05-28,6005,Horw Luzern,52
2019-05-28,6988,Ponte Tresa,1117
2019-05-28,6514,Bellinzona,398
2019-05-28,6533,Lumino,109
2019-05-28,6716,Acquarossa,43
2019-05-28,6592,Sant'Antonino,1349
2019-05-28,8004,Zürich,107
2019-05-28,6982,Agno,2557
2019-05-28,6950,Capriasca,257
2019-05-28,6524,Bellinzona,42
2019-05-28,6922,Morcote,526
2019-05-28,6053,Alpnach,21
2019-05-28,8903,Birmensdorf (ZH),21
2019-05-28,6454,Flüelen,48
2019-05-28,9451,Oberriet (SG),87
2019-05-28,6598,Tenero-Contra,268
2019-05-28,6916,Grancia,1294
2019-05-28,6959,Lugano,152
2019-05-28,6927,Collina d'Oro,197
2019-05-28,6705,Riviera,66
2019-05-28,6937,Alto Malcantone,98
2019-05-28,7270,Davos,22
2019-05-28,8152,Opfikon,37
2019-05-28,6532,Arbedo-Castione,548
2019-05-28,6991,Neggio,108
2019-05-28,6525,Bellinzona,88
2019-05-28,6048,Horw,35
2019-05-28,6742,Pollegio,121
2019-05-28,6572,Gambarogno,279
2019-05-28,6613,Ronco sopra Ascona,55
2019-05-28,6500,Bellinzona,3458
2019-05-28,6815,Melide,1329
2019-05-28,6866,Mendrisio,105
2019-05-28,6340,Baar Neuheim,39
2019-05-28,6832,Chiasso,46
2019-05-28,6460,Altdorf (UR),55
2019-05-28,6834,Morbio Inferiore,915
2019-05-28,6004,Luzern,192
2019-05-28,6710,Biasca,563
2019-05-28,6989,Croglio,344
2019-05-28,3800,Beatenberg Interlaken Matten bei Interlaken Unterseen,93
2019-05-28,7302,Landquart,43
2019-05-28,6353,Weggis,38
2019-05-28,6817,Maroggia,244
2019-05-28,8032,Zürich,27
2019-05-28,6802,Monteceneri,1768
2019-05-28,6956,Capriasca,126
2019-05-28,8280,Kreuzlingen,37
2019-05-28,6574,Gambarogno,31
2019-05-28,9450,Altstätten,34
2019-05-28,6930,Bedano,2175
2019-05-28,6816,Bissone,590
2019-05-28,6614,Brissago,86
2019-05-28,6838,Breggia,47
2019-05-28,7260,Davos,21
2019-05-28,9430,St. Margrethen,41
2019-05-28,2503,Biel/Bienne,21
2019-05-28,4052,Basel,68
2019-05-28,6517,Arbedo-Castione,159
2019-05-28,6853,Mendrisio,551
2019-05-28,6806,Monteceneri,362
2019-05-28,6821,Rovio,78
2019-05-28,6998,Monteggio,1014
2019-05-28,6875,Castel San Pietro,77
2019-05-28,6472,Erstfeld,111
2019-05-28,6945,Origlio,587
2019-05-28,6934,Bioggio,997
2019-05-28,6921,Vico Morcote,210
2019-05-28,6826,Riva San Vitale,699
2019-05-28,6596,Gordola,419
2019-05-28,9462,Oberriet (SG),30
2019-05-28,6981,Bedigliora Croglio Curio,302
2019-05-28,3818,Grindelwald,22
2019-05-28,6912,Lugano,34
2019-05-28,6513,Bellinzona,544
2019-05-28,4132,Muttenz,279
2019-05-28,6653,Terre di Pedemonte,37
2019-05-28,6994,Aranno,155
2019-05-28,6746,Faido,29
2019-05-28,6825,Mendrisio,327
2019-05-28,4057,Basel,331
2019-05-28,4133,Pratteln,55
2019-05-28,6803,Monteceneri,168
2019-05-28,6775,Quinto,44
2019-05-28,6917,Lugano,1154
2019-05-28,6467,Schattdorf,583
2019-05-28,6960,Capriasca,40
2019-05-28,6992,Bioggio Vernate,153
2019-05-28,6928,Manno,336
2019-05-28,6850,Mendrisio,3540
2019-05-28,6965,Lugano,103
2019-05-28,6721,Acquarossa Serravalle,31
2019-05-28,7306,Fläsch,25
2019-05-28,7412,Scharans,25
2019-05-28,6390,Engelberg,62
2019-05-28,6938,Alto Malcantone,111
2019-05-28,6980,Croglio,95
2019-05-28,6743,Bodio,170
2019-05-28,4310,Rheinfelden,63
2019-05-28,8134,Adliswil,24
2019-05-28,6814,Cadempino Lamone,2098
2019-05-28,6818,Melano,632
2019-05-28,6953,Capriasca,670
2019-05-28,6003,Luzern,127
2019-05-28,6023,Rothenburg,97
2019-05-28,6913,Lugano,58
2019-05-28,8240,Thayngen,101
2019-05-28,6516,Cugnasco-Gerra,141
2019-05-28,9470,Buchs (SG) Grabs,72
2019-05-28,6854,Stabio,234
2019-05-28,6484,Wassen,24
2019-05-28,4153,Reinach (BL),23
2019-05-28,9434,Au (SG),53
2019-05-28,8304,Wallisellen,22
2019-05-28,8953,Dietikon,34
2019-05-28,6703,Riviera,40
2019-05-28,6957,Capriasca,22
2019-05-28,6997,Sessa,137
2019-05-28,6822,Arogno,398
2019-05-28,6563,Mesocco,99
2019-05-28,6600,Locarno Muralto,1072
2019-05-28,6535,Roveredo (GR),211
2019-05-28,4051,Basel,22
2019-05-28,8400,Winterthur,26
2019-05-28,6644,Orselina,30
2019-05-28,6558,Lostallo,77
2019-05-28,6714,Serravalle,22
2019-05-28,8002,Zürich,54
2019-05-28,6612,Ascona,439
2019-05-28,6929,Gravesano,1053
2019-05-28,6537,Grono,54
2019-05-28,6503,Bellinzona,113
2019-05-28,6874,Castel San Pietro,274
2019-05-28,6807,Torricella-Taverne,1394
2019-05-28,6595,Lavertezzo,284
2019-05-28,6864,Mendrisio,388
2019-05-28,6984,Pura,554
2019-05-28,8006,Zürich,28
2019-05-28,6810,Isone,45
2019-05-28,6575,Gambarogno,22
2019-05-28,4056,Basel,297
2019-05-28,6839,Breggia,244
2019-05-28,-1,Other,4823
2019-05-29,7304,Maienfeld,58
2019-05-29,6979,Lugano,251
2019-05-29,6855,Stabio,3213
2019-05-29,6512,Bellinzona,1670
2019-05-29,6986,Curio Miglieglia Novaggio,466
2019-05-29,6954,Capriasca,309
2019-05-29,6527,Riviera,118
2019-05-29,8200,Schaffhausen,24
2019-05-29,6808,Torricella-Taverne,98
2019-05-29,8005,Zürich,204
2019-05-29,6918,Lugano,493
2019-05-29,6883,Novazzano,1420
2019-05-29,6776,Quinto,43
2019-05-29,6830,Chiasso,14966
2019-05-29,9469,Sennwald,33
2019-05-29,4614,Hägendorf,23
2019-05-29,8045,Zürich,21
2019-05-29,6764,Faido,77
2019-05-29,6939,Alto Malcantone,260
2019-05-29,6515,Bellinzona,59
2019-05-29,9000,St. Gallen,22
2019-05-29,6078,Lungern,22
2019-05-29,4058,Basel,63
2019-05-29,6370,Oberdorf (NW) Stans,32
2019-05-29,6804,Monteceneri,346
2019-05-29,6877,Coldrerio,2225
2019-05-29,9443,Widnau,58
2019-05-29,9476,Wartau,44
2019-05-29,6914,Lugano,298
2019-05-29,6872,Mendrisio,75
2019-05-29,9464,Altstätten Rüthi (SG),113
2019-05-29,6987,Caslano,3862
2019-05-29,6723,Acquarossa,33
2019-05-29,6968,Lugano,96
2019-05-29,6713,Serravalle,69
2019-05-29,6006,Luzern,36
2019-05-29,7000,Chur,57
2019-05-29,6873,Castel San Pietro,54
2019-05-29,6010,Alpnach Kriens,39
2019-05-29,4617,Gunzgen,34
2019-05-29,6951,Lugano,33
2019-05-29,6599,Cadenazzo,172
2019-05-29,8600,Dübendorf,22
2019-05-29,6936,Cademario,79
2019-05-29,6828,Balerna,2635
2019-05-29,6487,Göschenen,63
2019-05-29,9475,Sevelen,75
2019-05-29,6594,Gambarogno,472
2019-05-29,6983,Magliaso,1517
2019-05-29,6670,Avegno Gordevio,28
2019-05-29,4600,Olten,31
2019-05-29,6523,Bellinzona,43
2019-05-29,6410,Arth Gersau,72
2019-05-29,6745,Giornico,105
2019-05-29,6534,San Vittore,117
2019-05-29,6300,Zug,93
2019-05-29,6823,Arogno,107
2019-05-29,6562,Soazza,28
2019-05-29,8050,Zürich,32
2019-05-29,6809,Comunanza Cadenazzo/Montecener,116
2019-05-29,6648,Minusio,295
2019-05-29,8001,Zürich,181
2019-05-29,6777,Quinto,22
2019-05-29,6947,Capriasca,135
2019-05-29,6702,Bellinzona,132
2019-05-29,6863,Mendrisio,46
2019-05-29,6616,Losone,239
2019-05-29,6210,Sursee,21
2019-05-29,6760,Faido,95
2019-05-29,6020,Emmen,24
2019-05-29,8302,Kloten,121
2019-05-29,6865,Mendrisio,54
2019-05-29,6652,Terre di Pedemonte,23
2019-05-29,6343,Risch,30
2019-05-29,6528,Bellinzona,774
2019-05-29,6990,Agno,413
2019-05-29,6565,Mesocco,94
2019-05-29,6926,Collina d'Oro,746
2019-05-29,6852,Mendrisio,268
2019-05-29,8048,Zürich,41
2019-05-29,4053,Basel,37
2019-05-29,6556,Grono,27
2019-05-29,6833,Vacallo,10734
2019-05-29,6677,Maggia,52
2019-05-29,6995,Croglio,311
2019-05-29,6375,Beckenried,34
2019-05-29,6955,Capriasca,554
2019-05-29,9444,Diepoldsau,59
2019-05-29,6958,Capriasca,293
2019-05-29,6919,Collina d'Oro,159
2019-05-29,6780,Airolo,172
2019-05-29,6862,Mendrisio,669
2019-05-29,7435,Splügen,22
2019-05-29,6518,Bellinzona,110
2019-05-29,6967,Lugano,45
2019-05-29,6593,Cadenazzo,1310
2019-05-29,6720,Blenio,27
2019-05-29,8008,Zürich,36
2019-05-29,6763,Faido,49
2019-05-29,6573,Gambarogno,81
2019-05-29,6837,Breggia,78
2019-05-29,6978,Lugano,467
2019-05-29,6946,Ponte Capriasca,677
2019-05-29,4457,Diegten,45
2019-05-29,6935,Bioggio,96
2019-05-29,8952,Schlieren,21
2019-05-29,6827,Brusino Arsizio,328
2019-05-29,6805,Mezzovico-Vira,1137
2019-05-29,6005,Horw Luzern,62
2019-05-29,6988,Ponte Tresa,1509
2019-05-29,6514,Bellinzona,494
2019-05-29,6533,Lumino,145
2019-05-29,6716,Acquarossa,38
2019-05-29,6592,Sant'Antonino,1525
2019-05-29,8004,Zürich,133
2019-05-29,6982,Agno,2999
2019-05-29,6950,Capriasca,255
2019-05-29,6524,Bellinzona,35
2019-05-29,6922,Morcote,756
2019-05-29,6053,Alpnach,29
2019-05-29,6203,Neuenkirch,24
2019-05-29,6454,Flüelen,61
2019-05-29,9451,Oberriet (SG),89
2019-05-29,6052,Hergiswil (NW),49
2019-05-29,6598,Tenero-Contra,262
2019-05-29,6916,Grancia,1417
2019-05-29,6959,Lugano,184
2019-05-29,6927,Collina d'Oro,300
2019-05-29,6774,Dalpe,30
2019-05-29,6705,Riviera,60
2019-05-29,6937,Alto Malcantone,133
2019-05-29,8152,Opfikon,35
2019-05-29,6532,Arbedo-Castione,589
2019-05-29,6991,Neggio,130
2019-05-29,6525,Bellinzona,79
2019-05-29,6048,Horw,42
2019-05-29,6742,Pollegio,117
2019-05-29,6572,Gambarogno,287
2019-05-29,6613,Ronco sopra Ascona,47
2019-05-29,6500,Bellinzona,3335
2019-05-29,6815,Melide,1765
2019-05-29,6866,Mendrisio,65
2019-05-29,6340,Baar Neuheim,27
2019-05-29,6832,Chiasso,102
2019-05-29,6460,Altdorf (UR),51
2019-05-29,6834,Morbio Inferiore,1458
2019-05-29,6004,Luzern,212
2019-05-29,6710,Biasca,567
2019-05-29,6989,Croglio,407
2019-05-29,3800,Beatenberg Interlaken Matten bei Interlaken Unterseen,64
2019-05-29,7302,Landquart,31
2019-05-29,6353,Weggis,36
2019-05-29,6817,Maroggia,265
2019-05-29,8032,Zürich,24
2019-05-29,6802,Monteceneri,1984
2019-05-29,6956,Capriasca,123
2019-05-29,8280,Kreuzlingen,40
2019-05-29,6574,Gambarogno,37
2019-05-29,9450,Altstätten,30
2019-05-29,6930,Bedano,2293
2019-05-29,6816,Bissone,721
2019-05-29,6614,Brissago,79
2019-05-29,6838,Breggia,113
2019-05-29,9430,St. Margrethen,46
2019-05-29,4052,Basel,52
2019-05-29,6517,Arbedo-Castione,131
2019-05-29,6853,Mendrisio,581
2019-05-29,6806,Monteceneri,381
2019-05-29,6440,Ingenbohl,62
2019-05-29,6821,Rovio,78
2019-05-29,6998,Monteggio,1689
2019-05-29,6557,Cama,30
2019-05-29,6875,Castel San Pietro,121
2019-05-29,6362,Stansstad,42
2019-05-29,6472,Erstfeld,130
2019-05-29,6945,Origlio,635
2019-05-29,6934,Bioggio,1101
2019-05-29,6921,Vico Morcote,322
2019-05-29,6826,Riva San Vitale,770
2019-05-29,6596,Gordola,358
2019-05-29,9462,Oberriet (SG),38
2019-05-29,6981,Bedigliora Croglio Curio,496
2019-05-29,6912,Lugano,64
2019-05-29,6513,Bellinzona,542
2019-05-29,4132,Muttenz,204
2019-05-29,6653,Terre di Pedemonte,39
2019-05-29,6994,Aranno,236
2019-05-29,6746,Faido,27
2019-05-29,6825,Mendrisio,455
2019-05-29,4057,Basel,352
2019-05-29,4133,Pratteln,54
2019-05-29,6803,Monteceneri,200
2019-05-29,4624,Härkingen,25
2019-05-29,6775,Quinto,63
2019-05-29,6917,Lugano,1158
2019-05-29,6467,Schattdorf,633
2019-05-29,6960,Capriasca,44
2019-05-29,6992,Bioggio Vernate,144
2019-05-29,6928,Manno,274
2019-05-29,6850,Mendrisio,3860
2019-05-29,6965,Lugano,128
2019-05-29,6721,Acquarossa Serravalle,33
2019-05-29,7306,Fläsch,27
2019-05-29,7412,Scharans,29
