Date,PLZ From Id,PLZ From Name,Count
2019-07-06,6467,Schattdorf,70
2019-07-06,6960,Capriasca,33
2019-07-06,6992,Bioggio Vernate,159
2019-07-06,6928,Manno,189
2019-07-06,6850,Mendrisio,4672
2019-07-06,6965,Lugano,355
2019-07-06,6721,Acquarossa Serravalle,40
2019-07-06,7412,Scharans,23
2019-07-06,6938,Alto Malcantone,100
2019-07-06,6980,Croglio,69
2019-07-06,6743,Bodio,56
2019-07-06,6814,Cadempino Lamone,1042
2019-07-06,6818,Melano,668
2019-07-06,6953,Capriasca,1370
2019-07-06,6003,Luzern,56
2019-07-06,6023,Rothenburg,35
2019-07-06,6913,Lugano,40
2019-07-06,6516,Cugnasco-Gerra,132
2019-07-06,9470,Buchs (SG) Grabs,72
2019-07-06,6854,Stabio,98
2019-07-06,6484,Wassen,335
2019-07-06,6703,Riviera,51
2019-07-06,6957,Capriasca,24
2019-07-06,6997,Sessa,46
2019-07-06,6822,Arogno,554
2019-07-06,3907,Simplon Zwischbergen,24
2019-07-06,7744,Brusio,29
2019-07-06,6563,Mesocco,50
2019-07-06,6490,Andermatt,31
2019-07-06,6600,Locarno Muralto,681
2019-07-06,6535,Roveredo (GR),119
2019-07-06,4051,Basel,36
2019-07-06,6644,Orselina,23
2019-07-06,6558,Lostallo,44
2019-07-06,6714,Serravalle,36
2019-07-06,6612,Ascona,283
2019-07-06,6929,Gravesano,718
2019-07-06,6537,Grono,31
2019-07-06,6503,Bellinzona,128
2019-07-06,6874,Castel San Pietro,193
2019-07-06,6807,Torricella-Taverne,1469
2019-07-06,6595,Lavertezzo,100
2019-07-06,6864,Mendrisio,161
2019-07-06,6718,Blenio,91
2019-07-06,6984,Pura,434
2019-07-06,6810,Isone,55
2019-07-06,4056,Basel,56
2019-07-06,6839,Breggia,59
2019-07-06,-1,Other,3127
2019-07-07,6979,Lugano,100
2019-07-07,6855,Stabio,1248
2019-07-07,6512,Bellinzona,402
2019-07-07,6986,Curio Miglieglia Novaggio,247
2019-07-07,6690,Cevio,37
2019-07-07,6954,Capriasca,347
2019-07-07,6527,Riviera,42
2019-07-07,6808,Torricella-Taverne,117
2019-07-07,8005,Zürich,187
2019-07-07,6918,Lugano,535
2019-07-07,6883,Novazzano,649
2019-07-07,6776,Quinto,229
2019-07-07,6830,Chiasso,2334
2019-07-07,9469,Sennwald,60
2019-07-07,6764,Faido,26
2019-07-07,6939,Alto Malcantone,190
2019-07-07,6675,Cevio,22
2019-07-07,6655,Centovalli,26
2019-07-07,6515,Bellinzona,21
2019-07-07,6634,Brione (Verzasca),22
2019-07-07,4058,Basel,128
2019-07-07,6804,Monteceneri,140
2019-07-07,6877,Coldrerio,705
2019-07-07,6914,Lugano,315
2019-07-07,9465,Sennwald,28
2019-07-07,6707,Riviera,25
2019-07-07,6987,Caslano,2273
2019-07-07,6723,Acquarossa,68
2019-07-07,6749,Faido,33
2019-07-07,6968,Lugano,154
2019-07-07,6713,Serravalle,74
2019-07-07,7000,Chur,54
2019-07-07,6873,Castel San Pietro,36
2019-07-07,6951,Lugano,83
2019-07-07,6599,Cadenazzo,34
2019-07-07,6781,Bedretto,101
2019-07-07,7075,Churwalden,88
2019-07-07,6936,Cademario,61
2019-07-07,6828,Balerna,808
2019-07-07,6487,Göschenen,26
2019-07-07,7500,St. Moritz,93
2019-07-07,6594,Gambarogno,85
2019-07-07,6983,Magliaso,852
2019-07-07,6670,Avegno Gordevio,53
2019-07-07,6410,Arth Gersau,152
2019-07-07,6745,Giornico,39
2019-07-07,6534,San Vittore,89
2019-07-07,6300,Zug,76
2019-07-07,6823,Arogno,337
2019-07-07,6717,Blenio,48
2019-07-07,6562,Soazza,21
2019-07-07,8050,Zürich,29
2019-07-07,6809,Comunanza Cadenazzo/Montecener,102
2019-07-07,6648,Minusio,188
2019-07-07,8001,Zürich,138
2019-07-07,6777,Quinto,24
2019-07-07,6947,Capriasca,155
2019-07-07,6772,Prato (Leventina),45
2019-07-07,6702,Bellinzona,79
2019-07-07,6616,Losone,114
2019-07-07,7505,Celerina/Schlarigna,36
2019-07-07,6760,Faido,215
2019-07-07,8302,Kloten,89
2019-07-07,7745,Poschiavo,40
2019-07-07,6865,Mendrisio,26
2019-07-07,7078,Vaz/Obervaz,30
2019-07-07,6652,Terre di Pedemonte,74
2019-07-07,6635,Cugnasco-Gerra,32
2019-07-07,6343,Risch,34
2019-07-07,6773,Prato (Leventina),33
2019-07-07,6528,Bellinzona,179
2019-07-07,6990,Agno,273
2019-07-07,6565,Mesocco,284
2019-07-07,6926,Collina d'Oro,473
2019-07-07,6852,Mendrisio,233
2019-07-07,8048,Zürich,22
2019-07-07,6833,Vacallo,873
2019-07-07,6677,Maggia,122
2019-07-07,6995,Croglio,112
2019-07-07,6955,Capriasca,526
2019-07-07,7513,Silvaplana,29
2019-07-07,6958,Capriasca,432
2019-07-07,6919,Collina d'Oro,89
2019-07-07,6780,Airolo,354
2019-07-07,6862,Mendrisio,1864
2019-07-07,7435,Splügen,62
2019-07-07,6518,Bellinzona,69
2019-07-07,6967,Lugano,42
2019-07-07,6593,Cadenazzo,189
2019-07-07,6720,Blenio,65
2019-07-07,8008,Zürich,23
2019-07-07,6763,Faido,25
2019-07-07,6573,Gambarogno,67
2019-07-07,6978,Lugano,346
2019-07-07,6946,Ponte Capriasca,560
2019-07-07,6935,Bioggio,83
2019-07-07,6827,Brusino Arsizio,72
2019-07-07,6805,Mezzovico-Vira,361
2019-07-07,6005,Horw Luzern,33
2019-07-07,6988,Ponte Tresa,1861
2019-07-07,6514,Bellinzona,110
2019-07-07,6533,Lumino,72
2019-07-07,6716,Acquarossa,56
2019-07-07,6592,Sant'Antonino,190
