Date,Municipality From Id,Municipality From Name,Count
2019-06-26,3551,Brusio,37
2019-06-26,5222,Sessa,92
2019-06-26,5202,Monteggio,774
2019-06-26,1061,Luzern,141
2019-06-26,5254,Mendrisio,12048
2019-06-26,1213,Schattdorf,65
2019-06-26,5216,Pura,516
2019-06-26,5197,Melano,932
2019-06-26,6076,Obergoms,40
2019-06-26,5003,Cadenazzo,801
2019-06-26,5250,Chiasso,3629
2019-06-26,5125,Ronco sopra Ascona,29
2019-06-26,6621,Genève,41
2019-06-26,5171,Caslano,2943
2019-06-26,5079,Quinto,189
2019-06-26,1711,Zug,49
2019-06-26,3823,Soazza,32
2019-06-26,5154,Bissone,1509
2019-06-26,5203,Morcote,548
2019-06-26,5001,Arbedo-Castione,654
2019-06-26,2701,Basel,154
2019-06-26,5186,Grancia,1404
2019-06-26,5208,Origlio,1352
2019-06-26,5226,Capriasca,5443
2019-06-26,5115,Losone,271
2019-06-26,351,Bern,50
2019-06-26,3561,Poschiavo,28
2019-06-26,5010,Lumino,142
2019-06-26,5072,Faido,209
2019-06-26,5144,Arogno,806
2019-06-26,5194,Manno,269
2019-06-26,5287,Riviera,213
2019-06-26,5187,Gravesano,880
2019-06-26,5009,Isone,83
2019-06-26,5268,Vacallo,1004
2019-06-26,5078,Prato (Leventina),38
2019-06-26,5398,Gambarogno,615
2019-06-26,3822,Mesocco,116
2019-06-26,5586,Lausanne,25
2019-06-26,5251,Coldrerio,1268
2019-06-26,5324,Avegno Gordevio,74
2019-06-26,1093,Neuenkirch,25
2019-06-26,5151,Bioggio,4002
2019-06-26,5061,Airolo,185
2019-06-26,5236,Collina d'Oro,1401
2019-06-26,5219,Rovio,163
2019-06-26,62,Kloten,109
2019-06-26,3901,Chur,34
2019-06-26,5073,Giornico,41
2019-06-26,-1,Other,2102
2019-06-27,5260,Novazzano,1157
2019-06-27,5131,Tenero-Contra,225
2019-06-27,5141,Agno,4660
2019-06-27,5242,Balerna,1734
2019-06-27,5237,Alto Malcantone,615
2019-06-27,5120,Muralto,238
2019-06-27,5257,Morbio Inferiore,707
2019-06-27,5161,Cademario,105
2019-06-27,5178,Croglio,732
2019-06-27,5192,Lugano,4680
2019-06-27,5227,Torricella-Taverne,2300
2019-06-27,5195,Maroggia,662
2019-06-27,5269,Breggia,158
2019-06-27,3821,Lostallo,46
2019-06-27,5064,Bodio,64
2019-06-27,5160,Brusino Arsizio,114
2019-06-27,5108,Gordola,214
2019-06-27,5199,Mezzovico-Vira,1374
2019-06-27,5193,Magliaso,1441
2019-06-27,5397,Centovalli,54
2019-06-27,3835,San Vittore,131
2019-06-27,5076,Personico,23
2019-06-27,1362,Arth,277
2019-06-27,5091,Ascona,361
2019-06-27,5077,Pollegio,73
2019-06-27,261,Zürich,674
2019-06-27,5135,Vogorno,21
2019-06-27,3851,Davos,27
2019-06-27,1206,Erstfeld,37
2019-06-27,5017,Sant'Antonino,1014
2019-06-27,5281,Biasca,498
2019-06-27,5206,Neggio,132
2019-06-27,5049,Blenio,142
2019-06-27,5002,Bellinzona,5741
2019-06-27,5266,Stabio,2507
2019-06-27,5396,Terre di Pedemonte,85
2019-06-27,3271,Buchs (SG),35
2019-06-27,5113,Locarno,1183
2019-06-27,5189,Lamone,1831
2019-06-27,3831,Cama,22
2019-06-27,5238,Monteceneri,3272
2019-06-27,5233,Vico Morcote,403
2019-06-27,5181,Curio,351
2019-06-27,5263,Riva San Vitale,1056
2019-06-27,5213,Ponte Tresa,1365
2019-06-27,1207,Flüelen,40
2019-06-27,5063,Bedretto,59
2019-06-27,5317,Maggia,66
2019-06-27,5149,Bedigliora,288
2019-06-27,3787,St. Moritz,27
2019-06-27,2581,Olten,69
2019-06-27,5112,Lavertezzo,121
2019-06-27,3834,Roveredo (GR),178
2019-06-27,5310,Cevio,31
2019-06-27,1202,Andermatt,50
2019-06-27,5198,Melide,2161
2019-06-27,5249,Castel San Pietro,409
2019-06-27,5138,Cugnasco-Gerra,114
2019-06-27,5230,Vernate,99
2019-06-27,5048,Acquarossa,53
2019-06-27,5095,Brione (Verzasca),26
2019-06-27,5121,Orselina,37
2019-06-27,5050,Serravalle,131
2019-06-27,5097,Brissago,86
2019-06-27,1707,Risch,31
2019-06-27,5118,Minusio,410
2019-06-27,5148,Bedano,2283
2019-06-27,5207,Novaggio,166
2019-06-27,3832,Grono,105
2019-06-27,5071,Dalpe,23
2019-06-27,5143,Aranno,221
2019-06-27,5212,Ponte Capriasca,1089
2019-06-27,3551,Brusio,23
2019-06-27,230,Winterthur,29
2019-06-27,5222,Sessa,88
2019-06-27,5202,Monteggio,751
2019-06-27,5180,Cureglia,25
2019-06-27,1061,Luzern,120
2019-06-27,5254,Mendrisio,12067
2019-06-27,1213,Schattdorf,68
2019-06-27,5216,Pura,540
2019-06-27,5197,Melano,963
2019-06-27,1208,Göschenen,30
2019-06-27,6076,Obergoms,51
2019-06-27,5003,Cadenazzo,779
2019-06-27,5250,Chiasso,3567
2019-06-27,5125,Ronco sopra Ascona,39
2019-06-27,6621,Genève,40
2019-06-27,5171,Caslano,2875
2019-06-27,5079,Quinto,182
2019-06-27,1711,Zug,43
2019-06-27,3823,Soazza,23
2019-06-27,5154,Bissone,1413
2019-06-27,5203,Morcote,633
2019-06-27,5001,Arbedo-Castione,631
2019-06-27,2701,Basel,259
2019-06-27,5186,Grancia,1502
2019-06-27,5208,Origlio,1358
2019-06-27,5226,Capriasca,5362
2019-06-27,5115,Losone,273
2019-06-27,351,Bern,82
2019-06-27,3561,Poschiavo,23
2019-06-27,5010,Lumino,132
2019-06-27,5072,Faido,175
2019-06-27,5144,Arogno,771
2019-06-27,5194,Manno,275
2019-06-27,5287,Riviera,246
2019-06-27,5187,Gravesano,976
2019-06-27,5009,Isone,106
2019-06-27,5268,Vacallo,871
2019-06-27,5078,Prato (Leventina),27
2019-06-27,5398,Gambarogno,657
2019-06-27,3822,Mesocco,167
2019-06-27,5586,Lausanne,22
2019-06-27,5251,Coldrerio,1351
2019-06-27,5324,Avegno Gordevio,78
2019-06-27,5151,Bioggio,4001
2019-06-27,5061,Airolo,204
2019-06-27,5236,Collina d'Oro,1435
2019-06-27,5219,Rovio,150
2019-06-27,62,Kloten,89
2019-06-27,3901,Chur,33
2019-06-27,5073,Giornico,51
2019-06-27,-1,Other,2259
2019-06-28,5260,Novazzano,1089
2019-06-28,5131,Tenero-Contra,234
2019-06-28,5141,Agno,4603
2019-06-28,5242,Balerna,1845
2019-06-28,5237,Alto Malcantone,591
2019-06-28,5120,Muralto,188
2019-06-28,5257,Morbio Inferiore,759
2019-06-28,5161,Cademario,134
2019-06-28,5178,Croglio,790
2019-06-28,5192,Lugano,4993
2019-06-28,3276,Wartau,27
2019-06-28,5227,Torricella-Taverne,2391
2019-06-28,5195,Maroggia,597
2019-06-28,5269,Breggia,129
2019-06-28,3275,Sevelen,21
2019-06-28,3821,Lostallo,58
2019-06-28,5064,Bodio,73
2019-06-28,5160,Brusino Arsizio,118
2019-06-28,5108,Gordola,212
2019-06-28,3638,Scharans,27
2019-06-28,5199,Mezzovico-Vira,1328
2019-06-28,5193,Magliaso,1580
2019-06-28,5397,Centovalli,40
2019-06-28,3835,San Vittore,122
2019-06-28,5076,Personico,38
2019-06-28,1362,Arth,312
2019-06-28,5091,Ascona,452
2019-06-28,5077,Pollegio,74
2019-06-28,261,Zürich,908
2019-06-28,5135,Vogorno,21
2019-06-28,1201,Altdorf (UR),33
2019-06-28,1206,Erstfeld,33
2019-06-28,5017,Sant'Antonino,814
2019-06-28,5281,Biasca,516
2019-06-28,5206,Neggio,167
2019-06-28,5049,Blenio,175
2019-06-28,5002,Bellinzona,5397
2019-06-28,5266,Stabio,2464
2019-06-28,5396,Terre di Pedemonte,98
2019-06-28,3271,Buchs (SG),42
2019-06-28,5113,Locarno,1117
2019-06-28,5189,Lamone,1649
2019-06-28,3831,Cama,26
2019-06-28,3254,Oberriet (SG),51
2019-06-28,5238,Monteceneri,2936
2019-06-28,5233,Vico Morcote,468
2019-06-28,5181,Curio,310
2019-06-28,5263,Riva San Vitale,929
2019-06-28,5213,Ponte Tresa,1261
2019-06-28,1207,Flüelen,52
2019-06-28,5063,Bedretto,58
2019-06-28,5317,Maggia,64
2019-06-28,5149,Bedigliora,254
2019-06-28,3787,St. Moritz,33
2019-06-28,5112,Lavertezzo,114
2019-06-28,3834,Roveredo (GR),171
2019-06-28,5310,Cevio,35
2019-06-28,1202,Andermatt,34
2019-06-28,5198,Melide,2061
2019-06-28,5249,Castel San Pietro,432
2019-06-28,5138,Cugnasco-Gerra,151
2019-06-28,5230,Vernate,116
2019-06-28,5048,Acquarossa,109
2019-06-28,3792,Bregaglia,28
2019-06-28,5095,Brione (Verzasca),25
2019-06-28,3274,Sennwald,59
2019-06-28,3234,Diepoldsau,30
2019-06-28,5050,Serravalle,119
2019-06-28,5097,Brissago,55
2019-06-28,1707,Risch,77
2019-06-28,5118,Minusio,393
2019-06-28,5148,Bedano,2253
2019-06-28,5207,Novaggio,101
2019-06-28,3832,Grono,109
2019-06-28,5143,Aranno,239
2019-06-28,5212,Ponte Capriasca,1162
2019-06-28,784,Innertkirchen,30
2019-06-28,3551,Brusio,67
2019-06-28,230,Winterthur,26
2019-06-28,5222,Sessa,84
2019-06-28,5202,Monteggio,667
2019-06-28,1061,Luzern,123
2019-06-28,2770,Muttenz,27
2019-06-28,5254,Mendrisio,11566
2019-06-28,1213,Schattdorf,77
2019-06-28,5216,Pura,551
2019-06-28,5197,Melano,867
2019-06-28,3953,Maienfeld,27
2019-06-28,1208,Göschenen,50
2019-06-28,1509,Stans,22
2019-06-28,6076,Obergoms,61
2019-06-28,5003,Cadenazzo,774
2019-06-28,5250,Chiasso,3476
2019-06-28,5125,Ronco sopra Ascona,30
2019-06-28,6621,Genève,52
2019-06-28,5171,Caslano,2921
2019-06-28,5079,Quinto,234
2019-06-28,2831,Pratteln,22
2019-06-28,1711,Zug,103
2019-06-28,3823,Soazza,26
2019-06-28,5154,Bissone,1514
2019-06-28,5203,Morcote,553
2019-06-28,5001,Arbedo-Castione,667
2019-06-28,2701,Basel,267
2019-06-28,5186,Grancia,1487
2019-06-28,1220,Wassen,134
2019-06-28,5208,Origlio,1380
2019-06-28,5226,Capriasca,5505
2019-06-28,1372,Schwyz,24
2019-06-28,5115,Losone,303
2019-06-28,351,Bern,68
2019-06-28,3561,Poschiavo,33
2019-06-28,5010,Lumino,142
2019-06-28,5072,Faido,249
2019-06-28,5144,Arogno,876
2019-06-28,5194,Manno,268
2019-06-28,5287,Riviera,208
2019-06-28,5187,Gravesano,1012
2019-06-28,5009,Isone,102
2019-06-28,5268,Vacallo,903
2019-06-28,3837,Calanca,21
2019-06-28,5078,Prato (Leventina),34
2019-06-28,5398,Gambarogno,603
