Date,Canton To Id,Canton To Name,Count
2019-06-09,9,Zug,468
2019-06-09,13,Basel-Landschaft,925
2019-06-09,2,Bern,809
2019-06-09,17,St. Gallen,2378
2019-06-09,22,Vaud,137
2019-06-09,12,Basel-Stadt,2135
2019-06-09,7,Nidwalden,316
2019-06-09,3,Luzern,1956
2019-06-09,18,Graubünden,2448
2019-06-09,16,Appenzell Innerrhoden,24
2019-06-09,11,Solothurn,405
2019-06-09,26,Jura,28
2019-06-09,23,Valais,252
2019-06-09,8,Glarus,84
2019-06-09,19,Aargau,1116
2019-06-09,4,Uri,2308
2019-06-09,15,Appenzell Ausserrhoden,74
2019-06-09,-1,Other,12
2019-06-10,5,Schwyz,811
2019-06-10,10,Fribourg,132
2019-06-10,24,Neuchâtel,73
2019-06-10,25,Genève,130
2019-06-10,14,Schaffhausen,497
2019-06-10,20,Thurgau,611
2019-06-10,1,Zürich,6547
2019-06-10,6,Obwalden,179
2019-06-10,21,Ticino,66577
2019-06-10,9,Zug,824
2019-06-10,13,Basel-Landschaft,1087
2019-06-10,2,Bern,1001
2019-06-10,17,St. Gallen,3042
2019-06-10,22,Vaud,230
2019-06-10,12,Basel-Stadt,1959
2019-06-10,7,Nidwalden,251
2019-06-10,3,Luzern,2031
2019-06-10,18,Graubünden,2834
2019-06-10,16,Appenzell Innerrhoden,25
2019-06-10,11,Solothurn,565
2019-06-10,26,Jura,49
2019-06-10,23,Valais,278
2019-06-10,8,Glarus,123
2019-06-10,19,Aargau,1228
2019-06-10,4,Uri,2148
2019-06-10,15,Appenzell Ausserrhoden,78
2019-06-10,-1,Other,12
2019-06-11,5,Schwyz,361
2019-06-11,10,Fribourg,40
2019-06-11,24,Neuchâtel,42
2019-06-11,25,Genève,88
2019-06-11,14,Schaffhausen,229
2019-06-11,20,Thurgau,195
2019-06-11,1,Zürich,2840
2019-06-11,6,Obwalden,102
2019-06-11,21,Ticino,84129
2019-06-11,9,Zug,427
2019-06-11,13,Basel-Landschaft,584
2019-06-11,2,Bern,652
2019-06-11,17,St. Gallen,1392
2019-06-11,22,Vaud,107
2019-06-11,12,Basel-Stadt,1114
